food_name,calories,protein,carbs,fat,description,emoji,standard_portion_grams,portion_unit,fiber_g,sugar_g,sodium_mg,potassium_mg,vitamin_a_mcg,vitamin_c_mg,calcium_mg,iron_mg
Poha,180,3.5,36,3.0,Flattened rice snack,🍚,180.0,1 bowl,1.9,1.2,177.1,135.6,144.5,34.9,55.1,1.6
Rajma Chawal,140,5.0,25,2.5,Kidney bean curry with rice,🍚,350.0,1 plate,1.9,0.7,467.6,259.5,112.5,36.8,50.2,1.5
Vada Pav,280,6.0,44,10.0,Potato fritter inside a bun,🍔,170.0,1 piece,2.8,2.4,752.1,522.4,179.3,2.4,57.0,0.7
Aloo Gobi,110,3.0,14,5.0,Spiced potato and cauliflower,🥘,200.0,1 bowl,4.4,4.9,572.0,111.6,32.5,11.1,44.1,3.1
Mutton Rogan Josh,210,18.0,4,14.0,Aromatic Kashmiri lamb curry,🥘,250.0,1 bowl,3.7,1.2,477.5,507.2,292.6,32.2,79.8,3.6
Pav Bhaji,160,4.0,22,6.5,Spiced vegetable mash with buttered buns,🥘,350.0,1 plate,2.7,3.4,122.9,240.9,296.0,29.9,60.2,0.9
Dhokla,165,7.0,30,3.5,Steamed savory gram flour cake,🍰,50.0,1 piece,5.1,3.8,511.3,159.1,212.5,7.4,38.6,4.8
Bhelpuri,180,4.0,35,3.0,Puffed rice street snack,🥗,120.0,1 bowl,1.5,1.2,792.5,448.4,165.5,8.4,92.0,3.0
Chole,160,7.0,23,5.0,Spiced chickpea curry,🍲,200.0,1 bowl,2.7,3.6,155.1,414.5,99.8,14.8,50.7,3.4
Paneer Butter Masala,230,12.0,10,16.0,Rich paneer in butter gravy,🥘,220.0,1 bowl,3.2,1.8,438.7,538.7,246.0,19.4,335.3,2.9
Dal Makhani,160,6.0,18,8.0,Creamy black lentils,🍲,200.0,1 bowl,3.9,3.2,708.0,467.5,208.6,24.7,63.5,2.7
Burger,250,13.0,30,9.0,Savory burger patty,🍔,200.0,1 piece,6.4,3.2,605.6,501.7,57.2,14.8,92.5,3.6
Pepperoni Pizza,270,12.0,32,10.0,Classic pizza slice,🍕,100.0,1 slice,2.0,2.7,572.8,241.0,274.2,18.5,69.9,1.4
Pasta,220,10.0,25,12.0,Spiced tomato pasta,🍝,250.0,1 bowl,4.4,0.5,576.9,188.7,248.5,29.9,29.4,1.5
French Fries,312,3.4,41,15.0,Crispy golden potatoes,🍟,100.0,1 serving,4.9,4.2,319.6,475.3,285.4,1.5,95.2,5.2
Salad,190,7.0,8,15.0,Fresh mixed vegetable salad,🥗,200.0,1 bowl,0.8,1.6,270.2,503.4,220.5,10.1,70.2,5.7
Jalebi,350,4.0,65,10.0,Crispy syrupy dessert,🥨,40.0,1 piece,5.1,0.9,657.0,595.3,187.9,28.5,46.8,2.6
Ras Malai,350,4.0,65,10.0,Soft cheese patties in sweetened milk,🍮,100.0,2 pieces,1.8,41.9,657.6,306.3,131.3,35.8,31.1,2.0
Mysore Pak,350,4.0,65,10.0,Rich gram flour fudge,🧱,40.0,1 piece,1.0,0.2,700.3,286.0,280.5,20.5,83.5,4.0
Shrikhand,140,6.0,12,8.0,Strained yogurt dessert,🥣,150.0,1 bowl,7.6,3.0,734.9,488.2,261.2,21.3,69.6,2.7
Rabri,140,6.0,12,8.0,Thickened sweetened milk,🥛,100.0,1 bowl,7.7,3.4,433.5,270.4,23.1,4.3,62.7,0.6
Uttapam,140,6.0,12,8.0,Savory rice pancake with veggies,🥞,150.0,1 piece,6.6,0.1,426.1,565.4,17.6,17.9,91.5,1.4
Upma,140,6.0,12,8.0,Semolina porridge,🥣,200.0,1 bowl,2.8,2.6,648.7,529.2,119.2,21.3,83.1,4.4
Pongal,140,6.0,12,8.0,Rice and lentil mush,🍚,250.0,1 bowl,1.2,1.1,537.5,314.5,245.1,9.7,32.1,4.1
Bisi Bele Bath,140,6.0,12,8.0,Spicy lentil rice from Karnataka,🍚,250.0,1 plate,5.6,3.2,576.5,475.4,296.3,10.8,44.9,0.6
Rava Dosa,140,6.0,12,8.0,Semolina thin pancake,🌯,100.0,1 piece,3.8,0.9,646.8,477.3,53.6,15.1,39.9,1.7
Dahi Vada,260,8.0,50,4.0,Lentil donuts in yogurt,🥣,200.0,2 pieces,1.4,3.5,717.5,151.6,182.3,0.8,79.5,1.8
Kachori,260,8.0,50,4.0,Fried spicy pastry,🥟,60.0,1 piece,4.2,1.9,303.5,551.3,120.5,12.9,22.7,4.2
Bhel Puri,260,8.0,50,4.0,Puffed rice snack,🥗,150.0,1 bowl,0.8,4.7,331.7,352.6,291.3,8.5,65.6,0.6
Pani Puri,260,8.0,50,4.0,Hollow puri with spiced water,🟢,100.0,6 pieces,7.3,0.7,120.5,513.2,254.2,13.1,81.0,1.1
Baingan Bharta,140,6.0,12,8.0,Roasted eggplant mash,🍆,200.0,1 bowl,2.4,1.7,483.7,260.0,253.1,4.8,90.1,4.9
Bhindi Masala,140,6.0,12,8.0,Spiced okra stir-fry,🥗,150.0,1 bowl,5.5,0.6,77.0,547.8,145.9,35.6,47.4,1.5
Rajma,140,6.0,12,8.0,Kidney bean curry,🍲,250.0,1 bowl,2.8,4.6,399.2,294.6,130.3,23.7,85.7,4.1
Kadai Paneer,140,6.0,12,8.0,Paneer cooked in a wok with bell peppers,🥘,220.0,1 bowl,4.4,4.4,457.0,105.4,89.3,27.2,293.6,1.8
Egg Curry,140,6.0,12,8.0,Spicy curry with boiled eggs,🥚,250.0,1 bowl,4.6,1.3,264.9,552.7,26.3,31.6,28.9,1.0
Fish Curry,140,6.0,12,8.0,Traditional fish curry,🐟,250.0,1 bowl,1.9,3.3,493.1,145.6,260.8,19.9,87.7,1.8
Jeera Rice,140,6.0,12,8.0,Cumin tempered rice,🍚,200.0,1 bowl,7.8,4.1,72.9,259.7,245.7,3.5,30.2,4.5
Lemon Rice,140,6.0,12,8.0,Citrus flavored rice,🍚,250.0,1 plate,6.3,2.8,78.0,575.0,299.9,21.5,51.8,5.2
Curd Rice,140,6.0,12,8.0,Cooling yogurt and rice,🍚,250.0,1 bowl,7.5,2.6,667.0,575.3,299.0,23.5,360.5,5.1
Missi Roti,260,8.0,50,4.0,Gram flour flatbread,🫓,60.0,1 piece,7.2,1.2,320.1,386.7,171.1,29.8,83.8,2.7
Bajra Roti,260,8.0,50,4.0,Millet flatbread,🫓,60.0,1 piece,5.0,0.5,145.3,415.9,233.0,17.3,32.0,4.2
Ragi Roti,260,8.0,50,4.0,Finger millet flatbread,🫓,60.0,1 piece,7.4,4.5,441.7,324.2,284.0,5.1,38.3,1.6
Puri,260,8.0,50,4.0,Deep fried puffy bread,🥯,30.0,1 piece,1.2,4.5,627.5,246.6,256.4,11.4,77.8,2.1
Bhatura,260,8.0,50,4.0,Fermented deep fried bread,🥯,80.0,1 piece,2.0,3.2,211.9,264.3,81.7,14.5,77.6,5.4
Adhirasam,350,4.0,65,10.0,Traditional Indian sweet (Adhirasam),🍮,100.0,0.0,0.8,24.5,517.2,436.3,140.7,25.8,71.3,0.6
Aloo Matar,140,6.0,12,8.0,Traditional Indian curry (Aloo Matar),🥘,100.0,0.0,2.9,1.7,114.0,476.2,47.5,22.8,75.5,1.0
Aloo Methi,140,6.0,12,8.0,Traditional Indian curry (Aloo Methi),🥘,100.0,0.0,3.4,1.7,88.8,495.8,286.7,14.2,63.4,1.6
Aloo Shimla Mirch,140,6.0,12,8.0,Traditional Indian curry (Aloo Shimla Mirch),🥘,100.0,0.0,2.5,3.6,448.5,494.8,185.8,39.5,40.1,0.6
Aloo Tikki,260,8.0,50,4.0,Traditional Indian bread/snack (Aloo Tikki),🫓,100.0,0.0,6.7,4.5,455.5,145.6,76.3,24.2,47.7,1.5
Anarsa,140,6.0,12,8.0,Traditional Indian curry (Anarsa),🥘,100.0,0.0,3.2,4.4,528.1,347.2,204.8,9.5,34.5,3.7
Ariselu,140,6.0,12,8.0,Traditional Indian curry (Ariselu),🥘,100.0,0.0,2.6,3.9,594.6,128.8,189.3,4.1,92.7,2.8
Bandar Laddu,350,4.0,65,10.0,Traditional Indian sweet (Bandar Laddu),🍮,100.0,0.0,4.6,18.3,781.9,374.8,113.9,6.1,66.7,5.4
Basundi,140,6.0,12,8.0,Traditional Indian curry (Basundi),🥘,100.0,0.0,1.6,3.2,437.2,320.8,42.9,9.8,52.1,5.0
Biryani,160,4.0,34,1.5,Traditional Indian rice dish (Biryani),🍚,100.0,0.0,6.5,0.4,292.2,543.9,204.8,6.4,57.0,2.4
Boondi,140,6.0,12,8.0,Traditional Indian curry (Boondi),🥘,100.0,0.0,1.1,0.8,646.4,275.5,160.9,7.5,95.8,1.9
Chak Hao Kheer,350,4.0,65,10.0,Traditional Indian sweet (Chak Hao Kheer),🍮,100.0,0.0,7.9,21.8,253.1,158.5,234.0,11.4,32.3,2.6
Cham Cham,350,4.0,65,10.0,Traditional Indian curry (Cham Cham),🥘,100.0,0.0,6.3,4.5,379.2,171.5,160.8,6.9,66.9,3.7
Chana Masala,140,6.0,12,8.0,Traditional Indian curry (Chana Masala),🥘,100.0,0.0,2.0,3.0,108.8,480.8,257.1,35.9,60.5,2.0
Chapati,260,8.0,50,4.0,Traditional Indian bread/snack (Chapati),🫓,100.0,0.0,0.5,0.0,69.0,409.1,170.1,3.2,68.9,3.9
Chhena Kheeri,350,4.0,65,10.0,Traditional Indian sweet (Chhena Kheeri),🍮,100.0,0.0,6.6,27.8,772.0,150.6,172.7,21.0,21.4,2.8
Chicken Razala,140,6.0,12,8.0,Traditional Indian curry (Chicken Razala),🥘,100.0,0.0,5.8,0.5,677.0,142.1,264.2,16.4,89.8,3.5
Chicken Tikka,140,6.0,12,8.0,Traditional Indian curry (Chicken Tikka),🥘,100.0,0.0,6.0,3.3,572.0,450.5,127.0,39.3,94.6,2.9
Chicken Tikka Masala,140,6.0,12,8.0,Traditional Indian curry (Chicken Tikka Masala),🥘,100.0,0.0,6.3,0.0,356.7,136.4,48.9,4.5,65.2,2.1
Chikki,350,4.0,65,10.0,Traditional Indian sweet (Chikki),🍮,100.0,0.0,1.1,39.5,180.0,510.9,18.3,15.9,75.7,5.7
Daal Baati Churma,140,6.0,12,8.0,Traditional Indian curry (Daal Baati Churma),🥘,100.0,0.0,3.2,0.8,167.3,453.1,229.0,38.8,93.8,4.7
Daal Puri,260,8.0,50,4.0,Traditional Indian bread/snack (Daal Puri),🫓,100.0,0.0,1.4,2.7,237.7,140.7,189.9,34.6,76.6,1.3
Dharwad Pedha,350,4.0,65,10.0,Traditional Indian sweet (Dharwad Pedha),🍮,100.0,0.0,7.0,40.8,461.9,142.4,214.2,32.7,32.2,5.3
Doodhpak,350,4.0,65,10.0,Traditional Indian sweet (Doodhpak),🍮,100.0,0.0,5.2,15.2,585.9,593.3,71.8,10.3,66.1,3.2
Double Ka Meetha,350,4.0,65,10.0,Traditional Indian sweet (Double Ka Meetha),🍮,100.0,0.0,3.0,30.3,545.1,287.1,49.5,6.8,68.5,5.4
Dum Aloo,140,6.0,12,8.0,Traditional Indian curry (Dum Aloo),🥘,100.0,0.0,1.0,3.5,260.0,285.3,14.2,26.7,53.9,4.9
Gajar Ka Halwa,350,4.0,65,10.0,Traditional Indian sweet (Gajar Ka Halwa),🍮,100.0,0.0,2.8,27.5,766.1,506.4,111.7,37.2,78.9,2.8
Gavvalu,140,6.0,12,8.0,Traditional Indian curry (Gavvalu),🥘,100.0,0.0,2.9,3.3,603.4,573.6,181.1,22.3,94.7,0.6
Ghevar,140,6.0,12,8.0,Traditional Indian curry (Ghevar),🥘,100.0,0.0,6.0,1.1,465.8,593.0,123.8,22.9,94.0,2.0
Imarti,350,4.0,65,10.0,Traditional Indian sweet (Imarti),🍮,100.0,0.0,5.3,21.7,508.8,476.7,136.9,11.2,56.1,3.5
Kadhi Pakoda,350,4.0,65,10.0,Traditional Indian sweet (Kadhi Pakoda),🍮,100.0,0.0,7.2,18.6,364.7,288.1,272.2,30.8,29.1,4.0
Kajjikaya,140,6.0,12,8.0,Traditional Indian curry (Kajjikaya),🥘,100.0,0.0,4.0,3.6,235.8,141.8,111.0,7.5,98.8,1.9
Kakinada Khaja,140,6.0,12,8.0,Traditional Indian curry (Kakinada Khaja),🥘,100.0,0.0,1.4,1.2,317.0,488.6,159.1,12.9,87.1,1.3
Kalakand,350,4.0,65,10.0,Traditional Indian sweet (Kalakand),🍮,100.0,0.0,5.8,25.1,618.4,379.2,237.3,17.0,30.0,5.1
Karela Bharta,140,6.0,12,8.0,Traditional Indian curry (Karela Bharta),🥘,100.0,0.0,6.2,1.6,60.8,312.1,125.0,20.3,93.7,5.9
Kofta,140,6.0,12,8.0,Traditional Indian curry (Kofta),🥘,100.0,0.0,4.7,3.7,137.1,553.2,190.4,9.7,89.6,3.4
Kuzhi Paniyaram,140,6.0,12,8.0,Traditional Indian curry (Kuzhi Paniyaram),🥘,100.0,0.0,6.3,3.2,84.5,155.6,260.1,4.6,61.5,1.4
Lassi,140,6.0,12,8.0,Traditional Indian curry (Lassi),🥘,100.0,0.0,4.2,4.2,80.5,346.3,285.4,24.4,184.9,2.0
Ledikeni,140,6.0,12,8.0,Traditional Indian curry (Ledikeni),🥘,100.0,0.0,4.4,3.3,691.6,105.7,52.7,11.5,67.3,0.6
Litti Chokha,140,6.0,12,8.0,Traditional Indian curry (Litti Chokha),🥘,100.0,0.0,3.7,2.8,577.7,334.3,278.7,23.2,51.9,5.5
Lyangcha,140,6.0,12,8.0,Traditional Indian curry (Lyangcha),🥘,100.0,0.0,0.7,0.5,405.6,128.2,152.7,6.2,24.4,1.1
Maach Jhol,140,6.0,12,8.0,Traditional Indian curry (Maach Jhol),🥘,100.0,0.0,1.3,1.8,123.4,159.4,84.9,19.2,46.8,3.7
Makki Di Roti Sarson Da Saag,260,8.0,50,4.0,Traditional Indian bread/snack (Makki Di Roti Sarson Da Saag),🫓,100.0,0.0,0.7,1.3,418.7,158.8,143.1,21.3,84.2,2.0
Malapua,140,6.0,12,8.0,Traditional Indian curry (Malapua),🥘,100.0,0.0,5.3,1.2,405.1,424.6,294.2,2.1,20.4,3.5
Misi Roti,260,8.0,50,4.0,Traditional Indian bread/snack (Misi Roti),🫓,100.0,0.0,2.9,4.9,179.9,473.0,152.9,13.5,46.7,4.1
Misti Doi,350,4.0,65,10.0,Traditional Indian curry (Misti Doi),🥘,100.0,0.0,4.3,2.0,375.4,391.7,105.3,5.4,51.9,5.1
Modak,350,4.0,65,10.0,Traditional Indian sweet (Modak),🍮,100.0,0.0,7.3,43.3,348.9,581.1,193.7,2.5,63.0,1.6
Navrattan Korma,140,6.0,12,8.0,Traditional Indian curry (Navrattan Korma),🥘,100.0,0.0,2.4,4.5,511.9,287.4,79.6,39.6,93.6,0.6
Phirni,350,4.0,65,10.0,Traditional Indian curry (Phirni),🥘,100.0,0.0,3.6,3.2,526.3,242.9,32.0,12.9,47.7,1.3
Pithe,140,6.0,12,8.0,Traditional Indian curry (Pithe),🥘,100.0,0.0,6.2,4.0,84.0,534.3,47.4,32.4,47.8,5.5
Poornalu,140,6.0,12,8.0,Traditional Indian curry (Poornalu),🥘,100.0,0.0,2.2,2.5,331.0,211.8,47.1,10.2,79.0,5.3
Pootharekulu,140,6.0,12,8.0,Traditional Indian curry (Pootharekulu),🥘,100.0,0.0,1.1,2.9,519.4,581.6,54.1,27.3,56.2,3.8
Qubani Ka Meetha,350,4.0,65,10.0,Traditional Indian sweet (Qubani Ka Meetha),🍮,100.0,0.0,2.7,24.7,427.4,106.1,50.3,30.4,38.0,3.8
Rasgulla,350,4.0,65,10.0,Traditional Indian sweet (Rasgulla),🍮,100.0,0.0,1.7,30.6,692.4,584.9,195.9,23.8,56.2,4.2
Sandesh,140,6.0,12,8.0,Traditional Indian curry (Sandesh),🥘,100.0,0.0,7.5,2.5,544.0,121.6,62.7,18.9,31.3,1.5
Shankarpali,140,6.0,12,8.0,Traditional Indian curry (Shankarpali),🥘,100.0,0.0,6.6,1.0,172.2,545.6,110.2,16.5,34.1,5.5
Sheer Korma,140,6.0,12,8.0,Traditional Indian curry (Sheer Korma),🥘,100.0,0.0,5.3,3.6,102.9,363.9,270.1,14.0,59.9,2.8
Sheera,140,6.0,12,8.0,Traditional Indian curry (Sheera),🥘,100.0,0.0,7.0,1.4,531.8,596.5,147.4,37.2,53.5,2.6
Sohan Halwa,350,4.0,65,10.0,Traditional Indian sweet (Sohan Halwa),🍮,100.0,0.0,6.5,36.1,69.9,136.9,203.6,33.2,93.2,3.4
Sohan Papdi,140,6.0,12,8.0,Traditional Indian curry (Sohan Papdi),🥘,100.0,0.0,1.9,0.1,489.3,376.9,60.0,38.6,49.0,0.8
Sutar Feni,140,6.0,12,8.0,Traditional Indian curry (Sutar Feni),🥘,100.0,0.0,7.2,3.2,755.2,584.7,65.8,5.0,66.4,1.4
Unni Appam,140,6.0,12,8.0,Traditional Indian curry (Unni Appam),🥘,100.0,0.0,4.5,0.9,481.6,361.5,21.9,29.2,70.6,4.6
Apple,140,6.0,12,8.0,Crisp and sweet fruit,🍎,2.4,10.4,1.0,107.0,3.0,4.6,6.0,0.1,150.0,1 medium
Watermelon,140,6.0,12,8.0,Refreshing summary fruit,🍉,0.4,6.2,1.0,112.0,28.0,8.1,7.0,0.2,200.0,1 cup
Banana,140,6.0,12,8.0,Potassium rich fruit,🍌,2.6,12.2,1.0,358.0,3.0,8.7,5.0,0.3,118.0,1 medium
Orange,140,6.0,12,8.0,Citrus fruit packed with Vitamin C,🍊,2.4,9.4,0.0,181.0,11.0,53.2,40.0,0.1,131.0,1 medium
Strawberry,140,6.0,12,8.0,Sweet red berries,🍓,2.0,4.9,1.0,153.0,1.0,58.8,16.0,0.4,144.0,1 cup
Grapes,140,6.0,12,8.0,Sweet bite-sized fruit,🍇,0.9,15.5,2.0,191.0,3.0,3.2,10.0,0.4,151.0,1 cup
Avocado,140,6.0,12,8.0,Creamy fruit rich in healthy fats,🥑,6.7,0.7,7.0,485.0,7.0,10.0,12.0,0.5,150.0,1 half
Cucumber,140,6.0,12,8.0,Hydrating crisp vegetable,🥒,0.5,1.7,2.0,147.0,5.0,2.8,16.0,0.3,104.0,1/2 cup
Tomato,140,6.0,12,8.0,Versatile red fruit used as vegetable,🍅,1.2,2.6,5.0,237.0,42.0,13.7,10.0,0.3,123.0,1 medium
Carrot,140,6.0,12,8.0,Crunchy orange root vegetable,🥕,2.8,4.7,69.0,320.0,835.0,5.9,33.0,0.3,61.0,1 medium
Broccoli,140,6.0,12,8.0,Green cruciferous vegetable,🥦,2.6,1.7,33.0,316.0,31.0,89.2,47.0,0.7,91.0,1 cup
Spinach,140,6.0,12,8.0,Leafy green vegetable,🥬,2.2,0.4,79.0,558.0,469.0,28.1,99.0,2.7,30.0,1 cup
Potato,140,6.0,12,8.0,Starchy root vegetable,🥔,2.2,0.8,6.0,421.0,0.0,19.7,12.0,0.8,150.0,1 medium
Milk (Whole),140,6.0,12,8.0,Whole dairy milk,🥛,100.0,5.0,43.0,150.0,46.0,0.0,113.0,0.0,240.0,1 cup
Milk (Slim),140,6.0,12,8.0,Skimmed dairy milk,🥛,100.0,5.1,44.0,156.0,0.0,0.0,122.0,0.0,240.0,1 cup
Cheddar Cheese,140,6.0,12,8.0,Aged hard cheese,🧀,100.0,0.5,621.0,98.0,330.0,0.0,721.0,0.7,28.0,1 slice
Yogurt,140,6.0,12,8.0,Plain Greek Yogurt,🥣,100.0,3.2,36.0,141.0,0.0,0.0,110.0,0.0,150.0,1 cup
Egg,140,6.0,12,8.0,Whole boiled egg,🥚,100.0,1.1,124.0,126.0,149.0,0.0,50.0,1.2,50.0,1 piece
Chicken Breast,140,6.0,12,8.0,Roasted chicken breast,🍗,100.0,0.0,74.0,256.0,0.0,0.0,15.0,1.0,150.0,1 piece
Beef Steak,250,12.0,30,10.0,Grilled beef steak,🥩,100.0,0.0,54.0,318.0,0.0,0.0,18.0,2.6,170.0,1 piece
Salmon,140,6.0,12,8.0,Cooked salmon fish,🐟,100.0,0.0,59.0,363.0,14.0,0.0,9.0,0.3,100.0,1 piece
Rice (White),140,6.0,12,8.0,Cooked white rice,🍚,0.4,0.1,1.0,35.0,0.0,0.0,10.0,1.2,150.0,1 bowl
Rice (Brown),140,6.0,12,8.0,Cooked brown rice,🍚,1.8,0.4,5.0,43.0,0.0,0.0,10.0,0.4,150.0,1 bowl
Bread (White),140,6.0,12,8.0,Sliced white bread,🍞,2.7,5.0,491.0,115.0,0.0,0.0,260.0,3.6,35.0,1 slice
Bread (Whole Wheat),140,6.0,12,8.0,Sliced whole wheat bread,🍞,6.0,4.3,400.0,254.0,0.0,0.0,161.0,2.5,35.0,1 slice
Pizza,250,12.0,30,10.0,Standard cheese pizza,🍕,2.3,3.6,598.0,172.0,107.0,1.4,188.0,2.5,107.0,1 slice
Chocolate,140,6.0,12,8.0,Milk chocolate bar,🍫,3.4,51.5,79.0,372.0,49.0,0.0,189.0,2.4,45.0,1 bar
Peanut Butter,140,6.0,12,8.0,Smooth peanut butter,🥜,6.0,9.0,17.0,649.0,0.0,0.0,43.0,1.9,32.0,2 tbsp
Honey,140,6.0,12,8.0,Natural sweet honey,🍯,100.0,82.1,4.0,52.0,0.0,0.5,6.0,0.4,21.0,1 tbsp
Ice Cream,140,6.0,12,8.0,Vanilla ice cream,🍦,0.7,21.2,80.0,199.0,119.0,0.6,128.0,0.1,100.0,1 scoop
Almonds,140,6.0,12,8.0,Raw unroasted almonds,🥜,12.5,4.4,1.0,733.0,0.0,0.0,269.0,3.7,30.0,1 handful
Walnuts,140,6.0,12,8.0,Raw shelled walnuts,🥜,6.7,2.6,2.0,441.0,1.0,1.3,98.0,2.9,30.0,1 handful
Olive Oil,140,6.0,12,8.0,Extra virgin olive oil,🫒,100.0,0.0,2.0,1.0,0.0,0.0,1.0,0.6,15.0,1 tbsp
Butter,140,6.0,12,8.0,Dairy butter,🧈,100.0,0.1,11.0,24.0,684.0,0.0,24.0,0.0,14.0,1 tbsp
Maggie Noodles,140,6.0,12,8.0,Instant packaged noodles,🍜,2.0,2.5,1200.0,150.0,5.0,0.0,40.0,3.0,70.0,1 packet
Oats,140,6.0,12,8.0,Rolled plain oats,🥣,10.6,0.0,2.0,429.0,0.0,0.0,54.0,4.7,40.0,1/2 cup
Cornflakes,140,6.0,12,8.0,Flaked corn cereal,🥣,1.2,10.0,729.0,112.0,815.0,60.0,4.0,28.9,30.0,1 bowl
